Species,Genus,Family,Ordo,Class,Phylum
"Aaptolasma_americana_(Pilsbry,_1916)",Aaptolasma_[Arthropoda],Bathylasmatidae,Sessilia,Maxillopoda,Arthropoda
"Aaptolasma_brintoni_Newman_&_Ross,_1971",Aaptolasma_[Arthropoda],Bathylasmatidae,Sessilia,Maxillopoda,Arthropoda
"Aaptolasma_callistoderma_(Pilsbry,_1911)",Aaptolasma_[Arthropoda],Bathylasmatidae,Sessilia,Maxillopoda,Arthropoda
"Aaptolasma_fosteri_(Newman_&_Ross,_1971)",Aaptolasma_[Arthropoda],Bathylasmatidae,Sessilia,Maxillopoda,Arthropoda
"Aaptolasma_leptoderma_Newman_&_Ross,_1971",Aaptolasma_[Arthropoda],Bathylasmatidae,Sessilia,Maxillopoda,Arthropoda
"Aaptolasma_nolearia_Foster,_1978",Aaptolasma_[Arthropoda],Bathylasmatidae,Sessilia,Maxillopoda,Arthropoda
"Aaptolasma_triderma_Newman_&_Ross,_1971",Aaptolasma_[Arthropoda],Bathylasmatidae,Sessilia,Maxillopoda,Arthropoda
"Aaptos_aaptos_(Schmidt,_1864)",Aaptos_[Porifera],Suberitidae,Hadromerida,Demospongiae,Porifera
"Aaptos_alphiensis_Samaai_&_Gibbons,_2005",Aaptos_[Porifera],Suberitidae,Hadromerida,Demospongiae,Porifera
"Aaptos_bergmanni_de_Laubenfels,_1950",Aaptos_[Porifera],Suberitidae,Hadromerida,Demospongiae,Porifera
"Aaptos_ciliata_(Wilson,_1925)",Aaptos_[Porifera],Suberitidae,Hadromerida,Demospongiae,Porifera
"Aaptos_confertus_Kelly-Borges_&_Bergquist,_1994",Aaptos_[Porifera],Suberitidae,Hadromerida,Demospongiae,Porifera
"Aaptos_duchassaingi_(Topsent,_1889)",Aaptos_[Porifera],Suberitidae,Hadromerida,Demospongiae,Porifera
"Aaptos_durissima_(Carter,_1882)",Aaptos_[Porifera],Suberitidae,Hadromerida,Demospongiae,Porifera
"Aaptos_globosum_Kelly-Borges_&_Bergquist,_1994",Aaptos_[Porifera],Suberitidae,Hadromerida,Demospongiae,Porifera
"Aaptos_horrida_(Carter,_1886)",Aaptos_[Porifera],Suberitidae,Hadromerida,Demospongiae,Porifera
"Aaptos_kanuux_Lehnert,_Hocevar_&_Stone,_2008",Aaptos_[Porifera],Suberitidae,Hadromerida,Demospongiae,Porifera
"Aaptos_laxosuberites_(Sollas,_1902)",Aaptos_[Porifera],Suberitidae,Hadromerida,Demospongiae,Porifera
"Aaptos_niger_Hoshino,_1981",Aaptos_[Porifera],Suberitidae,Hadromerida,Demospongiae,Porifera
"Aaptos_nuda_(Kirkpatrick,_1903)",Aaptos_[Porifera],Suberitidae,Hadromerida,Demospongiae,Porifera
"Aaptos_papillata_(Keller,_1880)",Aaptos_[Porifera],Suberitidae,Hadromerida,Demospongiae,Porifera
"Aaptos_pernucleata_(Carter,_1870)",Aaptos_[Porifera],Suberitidae,Hadromerida,Demospongiae,Porifera
"Aaptos_robustus_Plotkin_&_Janussen,_2008",Aaptos_[Porifera],Suberitidae,Hadromerida,Demospongiae,Porifera
"Aaptos_rosacea_Kelly-Borges_&_Bergquist,_1994",Aaptos_[Porifera],Suberitidae,Hadromerida,Demospongiae,Porifera
"Aaptos_suberitoides_(Brndsted,_1934)",Aaptos_[Porifera],Suberitidae,Hadromerida,Demospongiae,Porifera
"Aaptos_tentum_Kelly-Borges_&_Bergquist,_1994",Aaptos_[Porifera],Suberitidae,Hadromerida,Demospongiae,Porifera
